GFOSS_contig_ID	C-1	C-2	C-3	C-4	C-5	C-Ac-1	C-Ac-2	C-Ac-3	C-Ac-4	C-Ac-5	Cd-C1-1	Cd-C1-2	Cd-C1-3	Cd-C1-4	Cd-C1-5	Cd-C3-1	Cd-C3-2	Cd-C3-3	Cd-C3-4	Cd-C3-5	MET-C1-1	MET-C1-2	MET-C1-3	MET-C1-4	MET-C1-5	MET-C2-1	MET-C2-2	MET-C2-3	MET-C2-4	MET-C2-5	PYR-C1-1	PYR-C1-2	PYR-C1-3	PYR-C1-4	PYR-C1-5	PYR-C3-1	PYR-C3-2	PYR-C3-3	PYR-C3-4	PYR-C3-5
41027_fr6	2	2	2	4	1	1	3	0	0	0	3	0	2	0	2	2	3	2	2	6	1	2	0	0	2	1	2	2	0	2	3	2	0	2	0	0	2	2	2	0
41268_fr3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0
41306_fr4	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	0	3	0	2	0	2	1	0	4	2	2	1	2	0	2	0	1	1	0	2	0	0	2	2	0
41523_fr3	8	4	0	4	6	0	7	8	6	5	10	7	6	8	4	4	4	5	4	4	2	6	2	10	4	8	8	2	9	11	5	4	13	6	4	3	6	6	6	6
41589_fr6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41933_fr1	0	0	1	1	0	0	0	0	0	0	3	1	1	0	11	2	4	0	2	0	0	2	0	12	2	1	1	2	1	1	0	1	4	0	1	1	0	2	3	0
41969_fr5	2	3	6	3	3	4	2	9	2	2	0	4	5	3	5	2	6	2	4	0	3	0	2	8	3	0	1	0	2	5	2	0	2	2	2	2	1	3	4	0
42134_fr4	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42143_fr3	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
42149_fr5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
42297_fr5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
42924_fr4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
42986_fr5	0	0	0	2	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3	2	0
43139_fr5	0	0	0	4	0	0	1	0	0	2	2	0	0	2	0	1	0	0	1	3	0	1	1	2	2	0	0	0	3	3	1	0	0	2	1	1	1	0	0	1
43172_fr6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	1
43196_fr6	0	0	0	1	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	1	0	0	1	2	1	0	2	1	0	0	0
43527_fr5	0	0	2	2	8	8	2	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43633_fr6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
43739_fr3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43912_fr3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	3	7	0	0	1	0	4	5	1	0	0	0	0	0	0	0	0	0	4
43914_fr2	0	1	1	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	0	0	0	0
43974_fr2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	3
44126_fr2	0	0	1	0	0	0	2	0	0	0	1	1	0	2	0	0	4	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	1	7	0	2	2	0	0
44177_fr5	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	4	2	0	0	0	0	1	0	0	0	3	3	0	0	3
44186_fr4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	5	0	2	0	0	0	4	3	0	2	0	2	0
44277_fr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
44380_fr1	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44466_fr3	4	2	2	0	2	0	0	0	0	0	0	3	0	2	2	0	0	0	2	0	0	0	6	0	2	4	0	0	3	0	0	0	0	0	3	0	3	0	0	2
44520_fr6	0	0	0	4	0	2	6	0	8	5	6	0	8	0	0	2	2	5	0	6	0	4	0	1	0	0	4	0	0	0	5	3	11	6	0	4	0	2	0	0
45104_fr3	0	0	0	0	0	0	0	0	0	0	1	2	2	4	3	1	2	0	1	0	0	0	1	2	0	2	2	1	1	1	0	0	2	0	0	6	0	1	1	0
45221_fr1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45258_fr3	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	3	0	0	0	0	0	3	3	2	0	0	2	2	4	0	2	0	0	0	0	0	2	2	2
45331_fr1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	6
45375_fr4	0	0	0	0	4	5	0	5	6	2	0	0	0	2	0	0	0	0	0	0	2	6	0	0	5	2	0	3	5	5	0	2	2	2	3	2	2	2	0	0
45519_fr4	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	5	0	0	0	0	2	2	2	0	1	6	0	0	2	4	0	0	0	2	0	0	0	0	0	0
45660_fr2	2	3	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	5	0	0	0	0	3	0	1	0
45864_fr1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46083_fr3	3	0	1	5	0	0	0	1	0	2	8	8	1	4	8	3	16	6	1	5	6	5	4	13	2	3	2	5	7	1	9	9	6	11	2	1	7	8	0	4
46249_fr5	4	2	0	0	1	0	5	0	1	5	0	2	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	2	3	0	0	3	0	0	0
46252_fr2	2	8	0	0	0	5	0	2	0	0	0	5	0	5	3	1	0	4	5	0	6	7	6	8	5	0	4	7	7	4	0	6	0	8	2	0	6	0	0	8
46326_fr4	2	0	2	2	0	2	2	0	0	0	2	2	0	2	2	1	3	2	1	0	2	0	2	5	2	3	0	2	2	0	3	4	2	2	2	4	0	2	4	2
46501_fr6	2	2	0	5	0	4	8	0	0	0	2	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	4	0	4	0	0	0	4	8	0
46934_fr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
47272_fr2	0	0	0	3	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
47294_fr1	12	14	11	20	15	12	5	13	10	10	2	9	2	11	9	3	6	12	9	9	5	10	5	10	7	15	1	9	12	9	8	11	14	10	14	14	15	15	3	17
47342_fr2	0	3	3	0	3	0	0	4	0	0	3	0	0	0	0	6	0	1	4	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47389_fr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
47479_fr5	0	4	1	0	2	1	1	0	0	2	2	2	0	1	0	0	0	0	0	0	1	8	0	1	1	0	2	1	0	1	0	3	2	0	0	0	0	0	1	2
47680_fr4	4	2	0	9	2	3	4	1	1	1	2	1	0	1	1	2	1	3	2	2	2	2	10	2	8	1	2	2	9	2	2	1	1	1	1	2	2	1	3	2
47690_fr4	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47886_fr2	0	0	0	2	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	1	1	12	0	1	0	0	0	0	0	1	0	0	0	2	0
47943_fr4	2	2	2	3	3	0	0	3	4	3	3	0	1	0	2	0	1	2	1	2	2	5	0	0	4	3	6	3	4	0	1	2	4	2	4	3	4	5	0	0
47948_fr6	5	6	4	4	3	6	9	6	4	8	5	0	0	0	0	5	4	4	7	10	5	4	0	0	0	4	4	4	0	4	6	0	0	0	0	5	0	0	5	0
47963_fr2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	4	0	0	0
47965_fr6	3	2	2	0	5	3	3	2	0	0	3	2	2	2	3	2	3	3	2	3	2	2	4	3	3	2	4	3	3	2	3	3	4	2	2	3	2	3	3	3
47988_fr6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
48103_fr2	0	0	0	1	0	0	1	0	11	0	0	0	0	1	0	1	0	0	1	2	1	0	1	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0
48166_fr4	3	0	0	6	0	0	0	0	0	0	7	0	2	3	0	0	0	0	5	0	4	0	0	2	0	0	0	0	0	0	0	0	0	5	4	6	0	0	5	0
